name,developers,publishers,appid,type,price,positive-ratings,negative-ratings,release-date,genres,tags,platforms
King of Spies Soundtrack,[],,1284310,music,$1.99,0,0,"Apr 24, 2020",[],,"['windows', 'mac', 'linux']"
漏气宝大冒险 Balloon Man Adventure,['几几何工作室'],['几几何工作室'],1284350,game,$1.99,1,0,"May 4, 2020","['Adventure', 'Indie']","Indie, Adventure, Fantasy, 2D, Minigames",['windows']
Alien Harvest Leader,['Galactic Spire'],['Galactic Spire'],1284360,game,$9.99,1,0,"Nov 12, 2020","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']","Strategy, Action, Indie, Casual, Simulation, Early Access, Gore, Violent, Tower Defense",['windows']
Pipe Dream,['Notome Games'],['Notome Games'],1284380,game,$0.00,0,0,Coming Soon,"['Casual', 'Indie', 'Simulation']",,"['windows', 'mac', 'linux']"
The Elven Educator ~another ver~,['Celusis'],"['CelLab', 'Flag shadow', '072 Project']",1284390,game,$14.99,0,0,"May 15, 2020","['Indie', 'RPG']",,['windows']
Nazi Labs,['Sinned Games'],['Sinned Games'],1284430,game,$2.99,6,5,"May 15, 2020","['Action', 'Casual', 'Indie']","Action Roguelike, Bullet Hell, Twin Stick Shooter, Dungeon Crawler, Perma Death, Shooter, Rogue-like, 2D, Comic Book, Bullet Time, Multiple Endings, Procedural Generation, Action, Singleplayer, Rogue-lite, Shoot 'Em Up, Retro, Casual, Indie, Violent",['windows']
Journey to the Place of Tomorrow,['Oak Lane Media'],['Oak Lane Media'],1284460,game,$9.99,0,0,"May 13, 2020","['Action', 'Adventure', 'Casual', 'Indie']",,['windows']
Beatitas,['StFP Studios'],['StFP Studios'],1284480,game,$0.00,12,1,"May 22, 2020","['Indie', 'RPG', 'Strategy']","RPG, Indie, Strategy, Turn-Based Combat, Female Protagonist, Story Rich, Sci-fi, Turn-Based, Puzzle, RPGMaker","['windows', 'mac']"
Timeflow Original Soundtrack,['Roman Makhmutov'],['Roman Makhmutov'],1284500,music,$4.99,0,0,"Apr 26, 2020",[],,"['windows', 'mac', 'linux']"
In a search of a new home,['Gamesforgames'],['Gamesforgames'],1284510,game,$24.99,29,30,"May 26, 2020","['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'RPG', 'Simulation', 'Sports', 'Strategy']","Action, Indie, Adventure, Strategy, Simulation, RPG, Casual, Sports, Racing, 2D Platformer, 2D, Family Friendly, Runner, Platformer",['windows']
Heroes Within Soundtrack,['Soundrama Inc.'],['Soundrama Inc.'],1284520,music,$4.99,0,0,"Mar 24, 2021",[],,"['windows', 'mac', 'linux']"
Yorna: Monster Girl's Secret,['Yeehaw Games'],['Yeehaw Games'],1284540,game,$19.99,0,0,"Sep 18, 2020","['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",,"['windows', 'mac', 'linux']"
Geometric Feel the Beats,['YAW Studios'],['YAW Studios'],1284550,game,$1.99,33,12,"Aug 19, 2020","['Action', 'Casual', 'Indie']","Rhythm, Casual, Score Attack, Local Co-Op, Colorful, Space, Singleplayer, Co-op Campaign, Indie, Music, Fast-Paced, Replay Value, Precision Platformer, Bullet Hell, Arcade, Shooter, PvP, Local Multiplayer, Difficult, Co-op",['windows']
Pipe Dream Demo,['Notome Games'],['Notome Games'],1284560,demo,$0.00,0,0,"Apr 20, 2020","['Casual', 'Indie', 'Simulation']",,"['windows', 'mac', 'linux']"
送小鸡回家 sendchickenhome,['独自一人游戏工作室'],['念如饺'],1284630,game,$0.99,4,0,"Apr 24, 2020","['Action', 'Adventure', 'Casual', 'Indie']","Action, Indie, Casual, Adventure, Puzzle",['windows']
Oh My Girl / 我的女孩 Soundtrack,['CAT TEAM'],['CAT TEAM'],1284640,music,$0.00,0,0,"Apr 28, 2020",[],,"['windows', 'mac', 'linux']"
ロストカラーズ／再装版 / LOSTCOLORS,['自転車創業'],['jitensyasougyou'],1284660,game,$34.99,3,0,"Apr 23, 2020","['Adventure', 'Indie']","Adventure, Indie, Violent, Story Rich, Visual Novel, Puzzle, Fantasy, Difficult, Anime, Singleplayer, Gore, Dark Fantasy, Blood, Controller",['windows']
Gemini StrategyDLC：Nie's Biography,['Gemini Stars Games'],['Gemini Stars Games'],1284680,dlc,$0.00,0,0,"Apr 10, 2020","['RPG', 'Strategy']",,['windows']
King of Spies Adults Only 18+ Patch,['King Key Games'],,1284690,dlc,$0.00,0,0,"Apr 24, 2020","['Action', 'Casual', 'Indie', 'RPG', 'Simulation']",,['windows']
Panic Timing (惊恐计时),['S Games'],['S Games'],1284700,game,$0.99,0,0,"Aug 9, 2020","['Adventure', 'Casual', 'Indie']",,['windows']
Tales of Escape - Estate Escape,['OnSkull Games'],,1283710,dlc,$2.99,0,0,"Apr 16, 2020","['Adventure', 'Casual', 'Free To Play', 'Indie']",,['windows']
Tales of Escape - Estate Escape VR,['OnSkull Games'],,1283711,dlc,$4.99,0,0,"Apr 16, 2020","['Adventure', 'Casual', 'Free To Play', 'Indie']",,['windows']
Cube Miners,['Username470'],['Aerial Game Studios'],1283720,game,$5.00,4,1,"May 15, 2020","['Casual', 'Indie']","Casual, Indie, Early Access, Relaxing, Great Soundtrack, Singleplayer",['windows']
Dangerous Lands 2 - Evil Ascension,['Sabrina Aridi'],['Sabrina Aridi'],1283740,game,$1.99,2,7,"Oct 19, 2020","['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access']","Action, Adventure, Villain Protagonist, RPG, Action RPG, Strategy, Indie, Early Access, Violent, Action-Adventure, Medieval, Fantasy, Casual, Dungeon Crawler, Hack and Slash, Anime, Cartoon, Singleplayer, Simulation, Character Action Game",['windows']
COVID-19 (CORONA VIRUS),['InsanityGameStudios'],['InsanityGameStudios'],1283760,game,$4.99,0,3,"Jul 29, 2020","['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']","Casual, Indie, Strategy, Simulation, Adventure, Early Access, Survival, Singleplayer",['windows']
Grey Skies: A War of the Worlds Story,['Steel Arts Software'],['Steel Arts Software'],1283770,game,$11.99,55,94,"Nov 5, 2020","['Action', 'Adventure', 'Indie']","Stealth, Atmospheric, Survival, Action-Adventure, Female Protagonist, Character Customization, Third Person, Strategy, Zombies, Noir, Post-apocalyptic, Action, Story Rich, Space, Sci-fi, Tactical, Real Time Tactics, Psychological, Robots, Crafting",['windows']
The Employee,['Parallelogram Software'],['Parallelogram Software'],1283790,game,$4.99,5,2,"May 27, 2020","['Action', 'Indie', 'Simulation']","Action, Indie, Simulation, First-Person, Zombies, Survival",['windows']
The Legend of Cesar,['Felipe Oliveira Cardozo'],['Felipe Oliveira Cardozo'],1283800,game,$1.99,4,0,"Jul 10, 2020","['Adventure', 'Indie']","Indie, Adventure, Action, Zombies, Survival, Open World, Singleplayer",['windows']
Solenars Edge II: Aurora of The Seventh Dawn,['Team Syukino'],['Team Syukino'],1283810,game,$0.00,16,2,"Jun 8, 2020","['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']","RPG, Indie, Action, Adventure, Strategy, Turn-Based Strategy, RPGMaker, Turn-Based Tactics, JRPG, Anime, Turn-Based Combat, 2D, Pixel Graphics, Fantasy, Controller, Local Co-Op, Local Multiplayer, Singleplayer, Retro",['windows']
Epic Dumpster Bear 2: He Who Bears Wins,['Log Games Ltd'],['Log Games Ltd'],1283820,game,$2.99,12,0,"Jun 15, 2020","['Action', 'Indie']","2D, Retro, Action, Platformer, Comedy, Singleplayer, Side Scroller, Capitalism, Indie, 2D Platformer, 2.5D, Sequel, Surreal, Fast-Paced, Epic, Parkour, Family Friendly, Great Soundtrack",['windows']
IMPACT,['CaveLight LLC'],['CaveLight LLC'],1283830,game,$0.00,27,2,"May 4, 2020","['Adventure', 'Casual', 'Free To Play', 'Early Access']","Free to Play, Casual, Adventure, Early Access, Puzzle-Platformer, Puzzle",['windows']
MaryPark St.,['Starless Studios'],['Starless Studios'],1283850,game,$2.99,10,0,"Aug 24, 2020","['Adventure', 'Casual', 'Indie']","Casual, Experimental, 2D, Indie, Story Rich, Surreal, Relaxing, Abstract, Cartoony, Minimalist, Philosophical, Atmospheric, Adventure, Singleplayer, Short",['windows']
Super Bounce Ball,['NanningsGames'],['NanningsGames'],1283860,game,$1.19,7,5,"Apr 20, 2020","['Action', 'Casual']","Action, Casual, Puzzle, Great Soundtrack, 2D, Minimalist, Atmospheric, Singleplayer, Short, Abstract, Family Friendly, Linear, Controller, Soundtrack, Music","['windows', 'linux']"
Ash of Legends Demo,['Pcubed VR'],['Pcubed VR'],1283870,demo,$0.00,0,0,"May 27, 2020","['Action', 'Indie', 'Strategy']",,['windows']
pilapa BOOM,['Raft Studio'],['Raft Studio'],1283880,game,$0.99,0,1,"Jan 11, 2022","['Casual', 'Indie']","Casual, Indie, Minimalist, Puzzle, 2D Platformer, 2D, Pixel Graphics, Relaxing, Funny, Physics, Singleplayer",['windows']
Suspicious Spaceroads,['Sami Kilani'],['Sami Kilani'],1283890,game,$1.99,5,0,"May 3, 2020",['Indie'],"Indie, Platformer, Space, Singleplayer, Puzzle-Platformer",['windows']
Second Star,"['Dyscordion Entertainment, Inc.']","['Dyscordion Entertainment, Inc.']",1283900,game,$0.00,0,0,Coming Soon,"['Adventure', 'Indie', 'RPG']",,['windows']
Advanced creator of labyrinths,['Gennady Zatsepin'],['Gennady Zatsepin'],1283920,game,$4.99,1,0,"Apr 22, 2020","['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']","3D, Procedural Generation, Relaxing, Exploration, Indie, Singleplayer, Casual, Puzzle, Adventure, Action, Simulation, First-Person","['windows', 'linux']"
Half-Life: Restored,['Vect0R'],['Vect0R'],1283930,mod,$0.00,0,0,"Jul 1, 2020","['Action', 'Free To Play']",,['windows']
东方幻灵录 ~ Touhou Hakanai Cards,['星愿制作组'],['星愿制作组'],1283960,game,$0.00,509,78,"May 20, 2020","['Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']","Strategy, Card Game, Casual, Multiplayer, Auto Battler, Online Co-Op, Massively Multiplayer, Competitive, Card Battler, PvP, Anime, Fantasy, Co-op, RPG, Faith, Singleplayer, Turn-Based Strategy, Cute, Relaxing, Funny",['windows']
Retro Ride,"['Avaris AS', 'Inverse Ontology']",['Avaris AS'],1283980,game,$9.99,0,1,"Apr 20, 2022","['Casual', 'Indie', 'Racing', 'Early Access']","Early Access, Arcade, Colorful, Driving, Racing, Rhythm, Music-Based Procedural Generation, Stylized, Procedural Generation, Runner, Casual, 3D, 1980s, 1990's, Cyberpunk, Relaxing, Retro, Action, Psychedelic, Music",['windows']
妄想破绽：重构篇,[],['bilibili'],1284010,dlc,$0.00,0,0,"May 20, 2020","['Adventure', 'Indie']",,['windows']
Dissection,['RandomSpin'],[' RandomSpin'],1284050,game,$0.99,20,13,"Apr 21, 2020","['Action', 'Indie']","Action, Indie, Horror, Stealth, Perma Death",['windows']
Legion Gold,['Slitherine Ltd.'],['Slitherine Ltd.'],1284080,game,$9.99,86,17,"Jul 9, 2020",['Strategy'],"Strategy, Building, RTS, 4X, 2D, Historical, Management, Military, Old School, Rome, Tactical, War, Resource Management, Singleplayer",['windows']
HookShotVR,['HookShotVR Team'],['HookShotVR Team'],1284100,game,$6.99,0,0,"Apr 22, 2020","['Action', 'Indie']",,['windows']
Amy's Greenmart,['Cyber Intellect Ltd'],['Cyber Intellect Ltd'],1284110,game,$9.99,50,2,"May 11, 2020","['Adventure', 'Casual']","Casual, Adventure, Time Management, Economy, Female Protagonist","['windows', 'mac']"
Sclash,['Bevel bakery'],"['Maximum Entertainment', 'Abiding Bridge']",1284130,game,$8.99,375,65,"Aug 4, 2023",['Action'],"2D Fighter, Hand-drawn, Multiplayer, Swordplay, Casual, Spectacle fighter, Arcade, Stylized, Character Customization, Anime, PvP, Local Multiplayer, Martial Arts, 2.5D, Fighting, Action, Controller, 2D, Singleplayer, Side Scroller",['windows']
Dangerous Plane,['Silistre Game'],['Silistre Game'],1284140,game,$9.99,1,5,"Mar 9, 2021","['Casual', 'Indie']","Indie, Casual, Fast-Paced, 2D, Stylized",['windows']
Danger Zombies,['Silistre Game'],['Silistre Game'],1284150,game,$9.99,15,12,"May 16, 2020","['Action', 'Adventure', 'Casual', 'Indie']","Casual, Action, Indie, Adventure, 2D",['windows']
Angstrom Station VR,['Cold Snap Games'],['Cold Snap Games'],1284160,game,$0.00,0,0,Coming Soon,"['Action', 'Indie']",,['windows']
Rock and Girls,['IR Studio'],['IR Studio'],1284180,game,$0.99,0,0,"Apr 22, 2020","['Casual', 'Indie']",,['windows']
Guild Wars 2,['ArenaNet®'],['ArenaNet®'],1284210,game,$0.00,19002,2378,"23 Aug, 2022","['Adventure', 'Massively Multiplayer', 'RPG', 'Free To Play']","MMORPG, Adventure, RPG, Character Customization, Free to Play, Fantasy, Third Person, 3D, Massively Multiplayer, PvP, Atmospheric, Class-Based, Combat, Multiplayer, Strategy, Crafting, Online Co-Op, Exploration, Story Rich, Singleplayer",['windows']
渡劫 x 魔女 ~ Team up with A Magician！,['V.P.TEAM'],['33ParadoX&igstore'],1283210,game,$6.99,53,12,"Aug 14, 2020","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']","Indie, Casual, Adventure, RPG, Simulation, Visual Novel, Anime, Dating Sim, Word Game, Clicker, 2D Platformer, JRPG, 2D, Cartoon, Cartoony, Cute, Beautiful, Colorful, Comic Book, LGBTQ+","['windows', 'mac']"
Devolverland Expo,['Flying Wild Hog'],['Devolver Digital'],1283220,game,$0.00,5109,616,"Jul 11, 2020","['Action', 'Adventure', 'Free To Play', 'Indie']","Free to Play, Action, FPS, Adventure, Indie, Singleplayer, Multiplayer, First-Person, Gore, Horror, Violent, Walking Simulator, Shooter, Funny, Atmospheric, Psychological Horror, Simulation, Short, Co-op, Anime",['windows']
Autopsy Simulator,['Woodland Games'],['Team17 Digital Ltd'],1283230,game,$24.99,635,637,"Jun 6, 2024","['Indie', 'Simulation']","Simulation, Indie, Nudity, Horror, Gore, Medical Sim, Mature, First-Person, Realistic, Psychological Horror, Blood, Singleplayer, Dark, Atmospheric, Story Rich, Adventure, Sexual Content",['windows']
Center2048,['bing chi'],['bing chi'],1283240,game,$3.99,1,0,"May 12, 2020","['Casual', 'Indie', 'RPG', 'Strategy', 'Early Access']","Indie, Casual, Strategy, RPG, Early Access, Puzzle, Singleplayer, Match 3, 3D, 3D Platformer, Puzzle-Platformer, 3D Vision, Tile-Matching","['windows', 'mac']"
Audio Party Pack,['GIFT TEN INDUSTRY K.K.'],['GIFT TEN INDUSTRY K.K.'],1283250,game,$0.00,13,3,"May 13, 2020","['Casual', 'Free To Play', 'Early Access']","Casual, Free to Play, Early Access, Local Multiplayer, Minigames, Indie, Funny, Family Friendly","['windows', 'mac']"
Coof Attack,['Basement Owl'],['Basement Owl'],1283260,game,$3.59,10,2,"Dec 1, 2020","['Action', 'RPG']","Action, RPG, Character Customization, Comedy, Online Co-Op, Memes, Arcade, Funny, Survival, Singleplayer, Indie, Level Editor, Satire, Shoot 'Em Up, Co-op, 2D, Post-apocalyptic","['windows', 'mac', 'linux']"
胆小鬼 Coward,['Red Flame Game'],['Red Flame Game'],1283270,game,$2.99,3,0,"Apr 27, 2020","['Action', 'Adventure', 'Indie', 'RPG']","Action, Indie, Adventure, RPG, Survival Horror",['windows']
Insexsity,['Insexsity_team'],['Demoartstudio'],1283280,game,$9.99,0,0,"Oct 2, 2020","['Action', 'Adventure', 'Indie', 'Simulation']",,"['windows', 'mac', 'linux']"
MY HERO ONE'S JUSTICE 2 Cheerleader Costume Set,['BYKING'],['BANDAI NAMCO Entertainment'],1283320,dlc,$10.99,0,0,"Jun 10, 2020",['Action'],,['windows']
My Sail And My Sea,['心田游戏(Heart Field Games)'],['心田游戏(Heart Field Games)'],1283330,game,$2.99,10,1,"Jun 30, 2020","['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']","Strategy, Casual, Simulation, Indie, Adventure, Turn-Based Strategy, Shooter, Open World Survival Craft, Third-Person Shooter, Voxel, Early Access, Minimalist, 3D, War, Pirates, Naval, Dark Humor, Building, Naval Combat, Sailing",['windows']
BE-A Walker Demo,['Tequilabyte Studio'],['Games Operators'],1283340,demo,$0.00,0,0,"Apr 7, 2020","['Action', 'Adventure', 'Indie', 'Simulation']",,"['windows', 'mac', 'linux']"
我是熊孩子,['白信鸽工作室'],['白信鸽工作室'],1283350,game,$1.99,5,1,"Apr 21, 2020","['Casual', 'Indie', 'Racing']","Indie, Casual, Racing, Card Game, Rogue-like",['windows']
Geki Yaba Runner,['QubicGames'],['QubicGames'],1283360,game,$0.00,0,0,Coming Soon,"['Action', 'Indie']",,['windows']
"A Painter's Tale: Curon, 1950",['Monkeys Tales Studio'],"['Monkeys Tales Studio', 'IVIPRO']",1283370,game,$7.99,30,5,"Jan 28, 2021","['Adventure', 'Indie']","Point & Click, Adventure, Story Rich, Soundtrack, Drama, Exploration, Interactive Fiction, Atmospheric, Emotional, Short, Singleplayer, Historical, Voxel, Education, Visual Novel, Third Person, Alternate History, Relaxing, Narration, Lore-Rich","['windows', 'mac']"
SpinZap,['Enelingos'],['Enelingos'],1283380,game,$8.99,1,0,"May 1, 2020","['Action', 'Casual', 'Indie']","Shoot 'Em Up, Casual, Unforgiving, Shooter, Arcade, 2.5D, Action, Puzzle, Colorful, Stylized, Sci-fi, Space, 1980s, Dark, Old School, Retro, Co-op, Local Co-Op, Local Multiplayer, Multiplayer",['windows']
Steelrising,['Spiders'],['Nacon'],1283400,game,$49.99,3915,1468,"Sep 8, 2022","['Action', 'Adventure', 'RPG']","Souls-like, Atmospheric, Action, Singleplayer, Third Person, RPG, Adventure, Action RPG, Difficult, Fantasy, Exploration, Character Customization, Story Rich, Soundtrack, Violent, Dark Fantasy, Alternate History, Character Action Game, Action-Adventure, Cinematic",['windows']
Tails of Iron,['Odd Bug Studio'],['United Label'],1283410,game,$24.99,10892,1424,"Sep 17, 2021","['Action', 'Adventure', 'Indie']","Action RPG, Souls-like, 2D, Adventure, Action-Adventure, Story Rich, Combat, Difficult, Narration, RPG, Singleplayer, Action, Fantasy, Atmospheric, Dark Fantasy, Medieval, Character Customization, 2.5D, Metroidvania, Swordplay","['windows', 'mac', 'linux']"
Fighting Fiends,['Lex de Kogel'],['Lex de Kogel'],1283430,game,$0.00,64,1,"Nov 9, 2021","['Action', 'Early Access']","Action, Early Access, Multiplayer, 4 Player Local, Top-Down, Fighting, 2D Fighter, Arcade, Local Multiplayer",['windows']
VBOX Sim,['Racelogic'],['Racelogic'],1283440,game,$129.99,8,2,"Jul 5, 2023",[],"Racing, Early Access, Sports, Driving, e-sports, Automobile Sim",['windows']
soundStrider,['shiftBacktick'],['shiftBacktick'],1283450,game,$0.99,5,0,"Jul 10, 2020","['Adventure', 'Casual', 'Indie', 'Simulation']","Exploration, Walking Simulator, 2D, Relaxing, Open World, Procedural Generation, Nonlinear, Casual, Abstract, Colorful, Minimalist, Psychedelic, Atmospheric, Adventure, Singleplayer, Ambient, Music, Indie, Experience, Experimental","['windows', 'linux']"
Euphoria: Supreme Mechanics,['Whale Rock Games'],['Whale Rock Games'],1283500,game,$19.99,100,37,"Oct 18, 2020","['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']","Indie, Simulation, Adventure, Strategy, Casual, First-Person, Puzzle, Mystery, Action-Adventure, Singleplayer, Atmospheric, Sci-fi, Action, Exploration, Nonlinear, Robots, Story Rich, Great Soundtrack, Cyberpunk, Difficult",['windows']
The Odd Neon Void,['Conmtrast'],['LGV'],1283520,game,$2.99,4,5,"Apr 21, 2020","['Adventure', 'Indie', 'RPG']","RPG, Indie, Adventure, Retro, Experimental, JRPG, Colorful, Pixel Graphics, Drama, Choices Matter, 1980s, Sci-fi, Psychological Horror, Open World, Singleplayer",['windows']
Oppai Muse Official Soundtrack,['OppaiMan 2D'],['OppaiMan 2D '],1283530,music,$1.19,0,0,"May 18, 2020",['Casual'],,"['windows', 'mac', 'linux']"
Rotatex 3,['Dnovel'],['Dnovel'],1283550,game,$9.99,12,2,"Dec 9, 2022","['Adventure', 'Casual', 'Indie', 'Early Access']","Casual, Adventure, Arcade, Puzzle, 2D Platformer, Side Scroller, Precision Platformer, 2D, Cute, Atmospheric, Linear, Singleplayer, Local Co-Op, Local Multiplayer, Early Access, Indie",['windows']
Seconds in Space Demo,['Funneractic'],['Funneractic'],1283570,demo,$0.00,0,0,"Apr 17, 2020","['Action', 'Indie', 'Strategy']",,['windows']
Minimalist Space War,['Henning Info'],['Henning Info'],1283580,game,$0.99,21,1,"Apr 21, 2020","['Action', 'Adventure', 'Casual', 'Indie']","Shoot 'Em Up, Minimalist, Bullet Hell, Arcade, 1990's, Action, 1980s, Difficult, Indie, Classic, Adventure, Casual, 2D, Retro",['windows']
Azure,['Hongke Luo'],['Hongke Luo'],1283590,game,$0.00,67,6,"May 25, 2020","['Action', 'Free To Play', 'Indie', 'RPG']","Free to Play, Indie, Action, RPG, Platformer, 2D Platformer",['windows']
Run!!!,"['John Xu', 'John Morris']",['John Xu'],1283620,game,$0.00,6,4,"Jun 23, 2020","['Action', 'Sports']","Action, Sports, First-Person, Parkour, 3D","['windows', 'mac']"
Frog Bath,['Lafterburn Studios'],['Lafterburn Studios'],1283630,game,$0.00,193,34,"Jun 9, 2020","['Action', 'Casual', 'Free To Play', 'Indie']","Free to Play, Action, Indie, Casual, Strategy, Multiplayer, Cute",['windows']
Legends of the Brawl,['Dark Tonic'],['Dark Tonic'],1283640,game,$0.00,0,0,Coming Soon,"['Action', 'Adventure', 'Casual', 'Indie', 'Early Access']",,['windows']
Game-Kun: Input Challenge,['Kasa On'],['Kasa On Ideas Ltd.'],1283660,game,$2.99,11,0,"Feb 9, 2021","['Action', 'Casual', 'Indie']","Indie, Score Attack, Arcade, Fast-Paced, Retro, Quick-Time Events, Action, Casual, Cartoon, Relaxing, Puzzle, e-sports, Collectathon, Anime, Cute, Old School, Controller, Rhythm, Singleplayer, Replay Value",['windows']
Color Crush Demo,['Frederik Holst'],['Frederik Holst'],1283670,demo,$0.00,0,0,"Apr 8, 2020","['Adventure', 'Casual', 'Free To Play']",,['windows']
Captive,['Kennex'],['Kennex Software'],1283680,game,$0.00,8,7,"May 9, 2020","['Adventure', 'Strategy']","Adventure, Strategy, Puzzle, Indie, Singleplayer, RPG, Simulation",['windows']
Music is the Language,['Datawheel'],['Datawheel'],1283690,game,$0.00,0,0,"May 17, 2022",['Indie'],,['windows']
Battle for the Kingdom,['League of Pros'],['Games for Love'],1282830,game,$4.99,0,0,"May 30, 2020","['Adventure', 'Casual', 'Strategy', 'Early Access']",,"['windows', 'mac']"
Haunted by Evil,['BKE Games Studio'],['BKE Games Studio'],1282850,game,$0.00,0,0,Coming Soon,"['Action', 'Indie']",,['windows']
Chronos: Before the Ashes Soundtrack,"['Gunfire Games', 'THQ Nordic']",['THQ Nordic'],1282870,music,$2.99,0,0,"Dec 1, 2020",[],,"['windows', 'mac', 'linux']"
PUZZL,['Terra Jogos'],['Terra Jogos'],1282880,game,$0.99,10,1,"Apr 29, 2020","['Casual', 'Indie']","Casual, Indie, Puzzle, Relaxing, Minimalist, 2D, Difficult, Singleplayer, Colorful",['windows']
Space Mouse 2,['Mindware'],['Mindware'],1282890,game,$17.99,15,0,"Jul 23, 2020","['Action', 'Casual', 'Strategy']","Action, Casual, Strategy, Arcade, Pixel Graphics",['windows']
Bacon Quest - Lovers' Beef Special Edition,"['Witching Hour Entertainment LLC', 'LarsMidnatt']",['Witching Hour Entertainment LLC'],1282900,game,$0.99,0,0,"Apr 29, 2020",['RPG'],,"['windows', 'mac']"
Clicker Heroes: Whelpling Auto Clicker,['Playsaurus'],['Playsaurus'],1282910,dlc,$9.99,0,0,"Feb 8, 2024","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Free To Play']",,"['windows', 'mac']"
The Roaring Empire,['ArGeyms'],['Komiker Media'],1282920,game,$0.00,0,0,Coming Soon,"['Action', 'Adventure', 'Indie', 'Strategy']",,"['windows', 'mac']"
Bloody Zombies Retro Soundtrack,['Paw Print Games Ltd.'],['nDreams'],1282980,music,$4.99,0,0,"Apr 21, 2020",[],,"['windows', 'mac', 'linux']"
Hi-Score Boi,['Moonryse Studios'],['Moonryse Studios'],1283000,game,$1.99,33,2,"Jul 13, 2020","['Casual', 'Indie', 'Simulation']","Casual, Indie, Simulation, Clicker, Singleplayer, 3D, Abstract, Anime, Cartoon, Colorful, Cute, Psychedelic, Stylized, Voxel, Cats, Memes, Retro, Score Attack, Family Friendly, Music","['windows', 'mac', 'linux']"
OMSI 2 Add-on Coachbus 256,['Long Vehicle’s Team'],['Aerosoft GmbH'],1283050,dlc,$14.99,0,0,"Aug 20, 2020","['Casual', 'Simulation']",,['windows']
Furry Shakespeare: Emperor Penguin Lear,['Stegalosaurus Game Development'],['Stegalosaurus Game Development'],1283060,game,$7.99,0,0,"May 11, 2020","['Adventure', 'Casual', 'Indie']",,"['windows', 'linux']"
3D Jigsaw Puzzle Simulator,['Fenix'],['Fenix'],1283070,game,$4.99,10,0,"Apr 17, 2020","['Casual', 'Indie', 'Simulation', 'Sports']","Puzzle, Tabletop, Minimalist, Singleplayer, Casual, Relaxing, Indie, Physics, Realistic, Procedural Generation, Real-Time with Pause, Atmospheric, Board Game, 3D, Puzzle-Platformer, Logic, Simulation, Sports, Family Friendly, Replay Value",['windows']
Deep Rock Galactic - Dark Future Pack,['Ghost Ship Games'],['Coffee Stain Publishing'],1283090,dlc,$7.99,0,0,"May 13, 2020",['Action'],,['windows']
Deep Rock Galactic - MegaCorp Pack,['Ghost Ship Games'],['Coffee Stain Publishing'],1283091,dlc,$7.99,0,0,"May 13, 2020",['Action'],,['windows']
LowPolis,['BroWar Collective'],['BroWar Collective'],1283100,game,$0.00,0,0,Coming Soon,"['Casual', 'Indie', 'Strategy']",,"['windows', 'mac', 'linux']"
Start Heart Thief | 出发吧！偷心盗贼 | 出撃 ルビー | 出擊 偷心盜賊,['Star & Moon Romance'],['Star & Moon Romance'],1283110,game,$3.99,9,7,"Apr 30, 2020","['Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']","JRPG, Hidden Object, Rogue-lite, Nudity, Collectathon, Dungeon Crawler, Open World, Female Protagonist, Hentai, Drama, Detective, Trading, Magic, Adventure, Cute, Retro, Anime, Singleplayer, RPG, Pixel Graphics",['windows']
Micro Platformer,['Daveyyy'],['Daveyyy'],1283130,game,$0.00,1657,54,"Apr 21, 2020","['Free To Play', 'Indie', 'Early Access']","Precision Platformer, Difficult, Minimalist, Controller, Pixel Graphics, Psychological Horror, Singleplayer, Free to Play, Platformer, Indie, Early Access, 2D Platformer, 2D, Family Friendly, Linear, Action",['windows']
Burn Me Twice,['Null Reference Studio'],['Null Reference Studio'],1283140,game,$0.00,217,47,"May 28, 2020","['Adventure', 'Free To Play', 'Indie']","Free to Play, Adventure, Puzzle, Narration, Detective, Interactive Fiction, Female Protagonist, Conversation, Story Rich, Mystery, Minimalist, Fantasy, Magic, Investigation, Medieval, Cinematic, Time Manipulation, Choose Your Own Adventure, Singleplayer, Indie",['windows']
Savant - VOID (Soundtrack),['D-Pad Studio'],,1283150,music,$14.99,0,0,"Nov 1, 2020",[],,"['windows', 'mac', 'linux']"
Experience x3 - Miden Tower,['Exe Create Inc.'],['KEMCO'],1283160,dlc,$4.99,0,0,"Apr 29, 2020","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",,['windows']
SP x3 - Miden Tower,['Exe Create Inc.'],['KEMCO'],1283161,dlc,$2.99,0,0,"Apr 29, 2020","['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']",,['windows']
